식재료명,식품분류,음식대분류,음식중분류,포함된음식,식품이미지URL,음식이미지URL
"즉석밥, 누룽지, 끓는물 부음",곡류 및 그 제품,밥류,쌀밥,눌은밥,,
"멥쌀, 백미, 밥",곡류 및 그 제품,밥류,쌀밥,쌀밥,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg,
"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,밥류,쌀밥,찰밥,,
"멥쌀, 현미, 밥",곡류 및 그 제품,밥류,쌀밥,현미밥,,
메밀묵,곡류 및 그 제품,밥류,쌀밥,누룽지(멥쌀),,
"멥쌀, 백미, 생것",곡류 및 그 제품,밥류,쌀밥,흑미밥,,
"멥쌀, 현미, 흑미, 생것",곡류 및 그 제품,밥류,쌀밥,흑미밥,,
"멥쌀, 현미, 발아현미, 생것",곡류 및 그 제품,밥류,쌀밥,발아현미밥,,
"대두, 검은색, 흑태, 삶은것",두류,밥류,잡곡밥류,검정콩밥,,
"기장, 도정, 생것",곡류 및 그 제품,밥류,잡곡밥류,기장밥,,
"녹두, 삶은것",두류,밥류,잡곡밥류,녹두밥,,
"땅콩, 삶은것, 소금첨가",견과 및 종실류,밥류,잡곡밥류,땅콩밥,,
"밤, 삶은것",견과 및 종실류,밥류,잡곡밥류,밤밥,,
"보리, 겉보리, 압맥",곡류 및 그 제품,밥류,잡곡밥류,보리밥,,
"강낭콩, 삶은것",두류,밥류,잡곡밥류,보리밥(강낭콩),,
"조, 메조, 도정, 찐것",곡류 및 그 제품,밥류,잡곡밥류,보리밥(조),,
"팥, 적색, 삶은것",두류,밥류,잡곡밥류,보리밥(팥),,
"수수, 찰수수, 도정, 생것",곡류 및 그 제품,밥류,잡곡밥류,수수밥,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg,
"쑥, 생것",채소류,밥류,잡곡밥류,쑥밥,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_019.jpg,
