식재료명,식품분류,식품이미지URL,음식이미지URL
가리비,어패류 및 기타 수산물,,
가오리,어패류 및 기타 수산물,,
가자미,어패류 및 기타 수산물,,
가지,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_049.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_062.jpg
간장,조미료류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_095.jpg
갈치,어패류 및 기타 수산물,,
감,과일류,,
감자,감자 및 전분류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_016.jpg
갓,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_164.jpg
강낭콩,두류,,
강낭콩,두류,,
갯나물,채소류,,
거위알,난류,,
게,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_064.jpg
겨자,조미료류,,
고구마,감자 및 전분류,,
고들빼기,채소류,,
고등어,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_135.jpg
곤드레,채소류,,
고비,채소류,,
고사리,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_085.jpg,
고수,채소류,,
고추,채소류,,
고추장,조미료류,,
고추장,조미료류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_045.jpg
고춧가루,조미료류,,
고춧잎,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_038.jpg,
곤약,감자 및 전분류,,
구스베리,과일류,,
구아바,과일류,,
굴,어패류 및 기타 수산물,,
굴 소스,조미료류,,
귀리,곡류 및 그 제품,,
귤,과일류,,
근대,채소류,,
금귤,과일류,,
기장,곡류 및 그 제품,,
김,해조류,,
김치,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_053.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5631-0/978-89-480-5631-0_A_50.jpg
까나리,어패류 및 기타 수산물,,
꼬막,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_040.jpg
꼬막,어패류 및 기타 수산물,,
꼴뚜기,어패류 및 기타 수산물,,
꽁치,어패류 및 기타 수산물,,
콜리플라워,채소류,,
꿀,당류,,
낙지,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_049.jpg
냉이,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_007.jpg,
광어,어패류 및 기타 수산물,,
노래미,어패류 및 기타 수산물,,
녹두,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_024.jpg
녹두묵,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-3061-7/978-89-480-3061-7_A_070.jpg
농어,어패류 및 기타 수산물,,
느타리버섯,버섯류,,
다랑어,어패류 및 기타 수산물,,
다래,과일류,,
다슬기,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_098.jpg
다시마,해조류,,
달걀,난류,,
