식재료명,식품분류,음식대분류,음식중분류,포함된음식,식품이미지URL,음식이미지URL
"멥쌀, 백미, 생것",곡류 및 그 제품,밥류,기타,녹차밥,,
"찹쌀, 현미, 흑미, 생것",곡류 및 그 제품,밥류,기타,녹차밥,,
"녹차, 현미",차류,밥류,기타,녹차밥,,
"찹쌀, 백미, 생것",곡류 및 그 제품,밥류,기타,영양밥,,
"밤, 통조림",견과 및 종실류,밥류,기타,영양밥,,
"표고버섯, 배지재배, 생것",버섯류,밥류,기타,영양밥,,
"인삼, 수삼, 생것",기타,밥류,기타,영양밥,,
"담치, 참담치(홍합), 생것",어패류 및 기타 수산물,밥류,기타,홍합밥,,
"간장, 개량, 양조",조미료류,밥류,기타,홍합밥,,
참기름,유지류,밥류,기타,홍합밥,,
"다시마, 말린것",해조류,밥류,기타,홍합밥,,
"닭고기, 다리(넓적다리), 생것",육류,밥류,기타,닭고기솥밥,,
"우엉, 생것",채소류,밥류,기타,닭고기솥밥,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg,
"은행, 생것",견과 및 종실류,밥류,기타,닭고기솥밥,,
"다시마, 생것",해조류,밥류,기타,닭고기솥밥,,
맛술,조미료류,밥류,기타,닭고기솥밥,,
"소금, 천일염, 가는소금",조미료류,밥류,기타,닭고기솥밥,,
"클로렐라, 말린것",해조류,밥류,기타,클로렐라밥,,
"소고기, 한우(1++등급), 앞다리, 생것",육류,밥류,기타,소불고기브리또,,
"스파게티 소스, 토마토, 병조림",조미료류,밥류,기타,소불고기브리또,,
"빵, 또띠아, 밀",곡류 및 그 제품,밥류,기타,소불고기브리또,,
"치즈, 모차렐라",우유류 및 유제품,밥류,기타,소불고기브리또,,
"양파, 생것",채소류,밥류,기타,소불고기브리또,,
"파프리카, 빨간색, 생것",채소류,밥류,기타,소불고기브리또,,
"피망, 초록색, 생것",채소류,밥류,기타,소불고기브리또,,
"소금, 천일염, 소금꽃",조미료류,밥류,기타,소불고기브리또,,
"후추, 흰색, 가루",조미료류,밥류,기타,소불고기브리또,,
"고구마, 생것",감자 및 전분류,밥류,기타,제주고구마밥(향토-제주도),,
"빵, 건포도빵",곡류 및 그 제품,과자 및 빵류,빵류,건포도빵,,
"빵, 곰보빵",곡류 및 그 제품,과자 및 빵류,빵류,곰보빵,,
"빵, 팥빵",곡류 및 그 제품,과자 및 빵류,빵류,단팥빵,,
"빵, 도넛, 링",곡류 및 그 제품,과자 및 빵류,빵류,도우넛(링),,
"빵, 도넛, 팥",곡류 및 그 제품,과자 및 빵류,빵류,도우넛(팥),,
"빵, 바게트",곡류 및 그 제품,과자 및 빵류,빵류,바게트빵,,
"빵, 식빵, 옥수수",곡류 및 그 제품,과자 및 빵류,빵류,식빵(옥수수),,
"빵, 식빵, 버터 첨가",곡류 및 그 제품,과자 및 빵류,빵류,토스트,,
"밀, 팬케이크가루",곡류 및 그 제품,과자 및 빵류,빵류,팬케이크,,
"달걀, 부침(달걀프라이)",난류,과자 및 빵류,빵류,팬케이크,,
우유,우유류 및 유제품,과자 및 빵류,빵류,팬케이크,,
콩기름,유지류,과자 및 빵류,빵류,팬케이크,,
"버터, 가염",유지류,과자 및 빵류,빵류,프렌치토스트,,
"피자, 콤비네이션 피자, 냉동, 전자레인지 조리",조리가공식품류,과자 및 빵류,빵류,"피자(슈퍼슈프림, 냉동)",,
"핫도그, 냉동",조리가공식품류,과자 및 빵류,빵류,핫도그(냉동),,
"햄버거, 소고기패티",조리가공식품류,과자 및 빵류,빵류,햄버거(소고기패티),,
"빵, 꽈배기",곡류 및 그 제품,과자 및 빵류,빵류,꽈배기빵,,
"빵, 롤빵, 하드",곡류 및 그 제품,과자 및 빵류,빵류,롤빵(하드),,
"빵, 롤빵, 소프트",곡류 및 그 제품,과자 및 빵류,빵류,롤빵(소프트),,
"빵, 마늘빵",곡류 및 그 제품,과자 및 빵류,빵류,마늘빵,,
"빵, 머핀, 우유",곡류 및 그 제품,과자 및 빵류,빵류,머핀(우유),,
"빵, 모닝빵",곡류 및 그 제품,과자 및 빵류,빵류,모닝빵,,
"빵, 모카빵",곡류 및 그 제품,과자 및 빵류,빵류,모카빵,,
"빵, 베이글",곡류 및 그 제품,과자 및 빵류,빵류,베이글,,
"빵, 식빵, 우유",곡류 및 그 제품,과자 및 빵류,빵류,식빵(우유),,
"빵, 옥수수빵",곡류 및 그 제품,과자 및 빵류,빵류,옥수수빵,,
"빵, 잼빵",곡류 및 그 제품,과자 및 빵류,빵류,잼빵,,
"빵, 찐빵, 팥, 막걸리 발효",곡류 및 그 제품,과자 및 빵류,빵류,찐빵(팥),,
"빵, 찐빵, 채소",곡류 및 그 제품,과자 및 빵류,빵류,찐빵(채소),,
