식재료명,식품분류,식품이미지URL,음식이미지URL,new_image_url
가리비,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_1BAB7322FE33CC019FC453222C2F490E.jpg
가오리,어패류 및 기타 수산물,,,https://recipe1.ezmember.co.kr/cache/recipe/2022/10/09/aaad38b4f5776a0ba4b18c83e0a17b061.jpg
가자미,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7ADAE6E4709CA187B35596DC2FD68962.jpg
가지,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_049.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_062.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_B7AE22A5A487FA06501BE1BEC26EF1D0.jpg
간장,조미료류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_095.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_023E1ED374797573A757210A0988B2E8.jpg
갈치,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EF34928CAFCB841A1A1F60220BDCC00D.jpg
감,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7CFFB2D9A6CFE36E57E2112DFDF0F6C7.jpg
감자,감자 및 전분류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_016.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_F030FBF7A1775F3F01E630A9867341FF.jpg
갓,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_164.jpg,https://img.lovepik.com/photo/20211120/medium/lovepik-cabbage-mustard-picture_500499212.jpg
강낭콩,두류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C10C2673F96D64EE21B1BB9FFA6DFF36.jpg
강낭콩,두류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C10C2673F96D64EE21B1BB9FFA6DFF36.jpg
